"Date_Time",Rides
"09/01/14 09:55",5
"09/01/14 09:56",9
"09/01/14 09:57",8
"09/01/14 09:58",8
"09/01/14 09:59",6
"09/01/14 10:00",6
"09/01/14 10:01",7
"09/01/14 10:02",8
"09/01/14 10:03",8
"09/01/14 10:04",9
"09/01/14 10:05",12
"09/01/14 10:06",11
"09/01/14 10:07",16
"09/01/14 10:08",10
"09/01/14 10:09",3
"09/01/14 10:10",12
"09/01/14 10:11",2
"09/01/14 10:12",10
"09/01/14 10:13",13
"09/01/14 10:14",12
"09/01/14 10:15",16
"09/01/14 10:16",8
"09/01/14 10:17",6
"09/01/14 10:18",7
"09/01/14 10:19",8
"09/01/14 10:20",11
"09/01/14 10:21",12
"09/01/14 10:22",6
"09/01/14 10:23",8
"09/01/14 10:24",7
"09/01/14 10:25",12
"09/01/14 10:26",10
"09/01/14 10:27",13
"09/01/14 10:28",10
"09/01/14 10:29",2
"09/01/14 10:30",12
"09/01/14 10:31",9
"09/01/14 10:32",5
"09/01/14 10:33",6
"09/01/14 10:34",10
"09/01/14 10:35",9
"09/01/14 10:36",11
"09/01/14 10:37",11
"09/01/14 10:38",8
"09/01/14 10:39",5
"09/01/14 10:40",10
"09/01/14 10:41",11
"09/01/14 10:42",20
"09/01/14 10:43",8
"09/01/14 10:44",9
"09/01/14 10:45",14
"09/01/14 10:46",13
"09/01/14 10:47",5
"09/01/14 10:48",10
"09/01/14 10:49",9
"09/01/14 10:50",9
"09/01/14 10:51",10
"09/01/14 10:52",12
"09/01/14 10:53",5
"09/01/14 10:54",11
"09/01/14 10:55",12
"09/01/14 10:56",10
"09/01/14 10:57",15
"09/01/14 10:58",11
"09/01/14 10:59",11
